areaname,result,m10,m11,m12,m01,m02,m03,m04,m05,m06,m07,m08,m09
"โรงพยาบาลปัตตานี","54","5","16","6","6","3","4","2","4","3","2","3","0"
"โรงพยาบาลโคกโพธิ์","61","11","0","13","12","7","6","4","4","2","2","0","0"
"โรงพยาบาลหนองจิก","215","29","9","11","29","48","9","12","18","10","18","16","6"
"โรงพยาบาลปะนาเระ","116","10","4","7","14","8","5","3","22","3","0","27","13"
"โรงพยาบาลมายอ","228","1","4","1","5","0","48","27","0","1","2","0","139"
"โรงพยาบาลทุ่งยางแดง","234","54","47","0","44","19","2","1","0","0","42","8","17"
"โรงพยาบาลไม้แก่น","43","3","0","0","14","0","17","0","0","7","2","0","0"
"โรงพยาบาลยะหริ่ง","39","1","2","1","1","13","6","2","0","0","4","9","0"
"โรงพยาบาลยะรัง","21","0","1","7","7","1","1","1","2","1","0","0","0"
"โรงพยาบาลแม่ลาน","130","11","8","7","6","3","7","0","1","2","35","26","24"
"โรงพยาบาลสมเด็จพระยุพราชสายบุรี","188","8","5","5","33","2","4","3","70","9","11","33","5"
"โรงพยาบาลกะพ้อ","416","15","22","195","9","16","13","17","9","11","46","22","41"
