a_name,result,m10,m11,m12,m01,m02,m03,m04,m05,m06,m07,m08,m09
"10748:โรงพยาบาลปัตตานี","101","14","2","6","7","7","6","6","14","2","9","28","0"
"11423:โรงพยาบาลโคกโพธิ์","146","12","3","10","96","8","4","4","2","2","3","1","1"
"11424:โรงพยาบาลหนองจิก","216","8","5","62","60","20","11","4","5","0","28","8","5"
"11425:โรงพยาบาลปะนาเระ","102","2","3","5","1","3","1","0","0","0","0","82","5"
"11426:โรงพยาบาลมายอ","513","1","6","0","21","0","250","164","1","3","1","3","63"
"11427:โรงพยาบาลทุ่งยางแดง","227","39","7","0","0","0","1","13","1","1","50","71","44"
"11428:โรงพยาบาลไม้แก่น","215","5","1","0","11","78","119","0","1","0","0","0","0"
"11429:โรงพยาบาลยะหริ่ง","142","2","1","1","3","107","2","3","2","0","1","9","11"
"11430:โรงพยาบาลยะรัง","140","2","1","18","19","4","0","1","1","22","2","68","2"
"11431:โรงพยาบาลแม่ลาน","71","14","12","14","1","2","2","1","1","2","20","0","2"
"11460:โรงพยาบาลสมเด็จพระยุพราชสายบุรี","1060","0","2","25","339","1","2","0","38","168","249","178","58"
"11464:โรงพยาบาลกะพ้อ","723","7","1","85","6","3","419","138","1","4","33","3","23"
"11529:โรงพยาบาลค่ายอิงคยุทธบริหาร",null,null,null,null,null,null,null,null,null,null,null,null,null
"14195:โรงพยาบาลธัญญารักษ์ปัตตานี",null,null,null,null,null,null,null,null,null,null,null,null,null
